"purchase_date","Chemists & Drgustores","Clothing","DIY Goods","Eletrical Goods","Food & Consumables","Furniture & Carpets","Garden Products","Household & Textiles","Music, Films & Books","Services","Sports Equipments","Total Sales"
2017-04-21,507.38,444.65,500.67,1639.53,NA,3058,274.98,2611.88,813.3,NA,567.1,10466.44
2017-04-22,2396.99,1442.16,607.27,1599.95,NA,2087.12,770.13,3834.11,140.97,NA,2542.68,16018.33
2017-04-23,2727.51,1159.08,917.24,2488.11,NA,695.93,45.86,2699.98,260.45,120.71,695.15,11838.88
2017-04-24,2142.11,1587.01,1213.66,1384.65,NA,3425.8,397.81,4466.04,267.95,NA,1300.72,16632.3
2017-04-25,778.05,1698.75,623.2,2770.31,NA,2451.45,1343.09,4924.03,114.53,314.48,1087.09,17651.79
2017-04-26,2510.76,955.93,1073,1539.72,NA,2584.11,826.1,7880.29,301.55,202.62,1422.02,19760.09
2017-04-27,810.34,731.46,1751.62,1264.69,55.92,532.61,771.37,4184.93,93.31,624.57,909.62,11871.67
2017-04-28,1204.38,3108.23,333.97,3150.07,NA,2053.32,244.15,5229.64,447.33,NA,2224.23,18245.83
2017-04-29,2105.68,2646.32,373.23,1227.68,NA,1776.31,748.64,4967.04,39.42,412.79,831.31,15613.96
2017-04-30,1683.34,819.36,594.13,759,NA,1495.18,992.45,2467.02,NA,NA,1123.61,9934.09
2017-05-01,1885.32,1038.8,1183.24,1735.24,NA,2853.8,438.73,4521.93,407.21,NA,1090.3,16070.04
2017-05-02,2370.01,2656.87,1782.27,1933.89,NA,1169.89,1996.56,5535.63,833.94,83.69,1844.56,21081.12
2017-05-03,1636.34,350.83,936.37,1396.86,187.91,1253.37,444.13,4307.05,40.55,281.56,826,12155.48
2017-05-04,2451.24,1026.41,2656.01,2389.71,NA,995.39,1536.56,3318.67,NA,NA,1768.44,16582.86
2017-05-05,2439.42,935.64,887.67,1451.77,54.04,1952.92,591.67,5106.29,546.99,118.86,2858.6,17556.78
2017-05-06,3655.66,2029.97,1067.65,563.14,NA,1740.42,1467.39,6343.96,46.82,67.77,1722.54,19819.07
2017-05-07,777.98,2739.25,870.97,2266.52,220.4,3151.98,3108.05,3398.83,2043.06,467.81,1102.05,20944.56
2017-05-08,1882.95,1529.89,1963.38,2738.03,NA,3858.37,1325.17,4563.04,37.53,657.61,627.48,20227.15
2017-05-09,1626.18,1758.12,1327.58,7157.59,24.84,2213.21,725.24,5408.55,46.01,40.1,1029.46,24505.27
2017-05-10,2022.52,2768.62,1578.42,6937.36,NA,938.05,2433.51,5658.74,215.36,NA,1479.31,24174.95
2017-05-11,6478.82,2136.55,1046.87,4366.96,65.33,2185.51,454.38,4185.1,306.84,NA,1618.35,22971
2017-05-12,2050.06,1017.19,1255.26,2438.09,NA,2170.94,389.9,4674.13,246.22,36.77,836.34,15479.48
2017-05-13,1305.6,253.38,528.24,2405.98,NA,1914.72,409.16,3272.23,NA,NA,813.83,11015.03
2017-05-14,2700.67,3527.16,1025.05,2420.71,NA,948.29,1080.77,4208.22,591.93,566.51,961.69,18379.18
2017-05-15,2276.03,2179.19,1200.43,2084.95,174.17,5168.95,646.63,5372.11,475.12,23.85,1884.14,22186.72
2017-05-16,1581.96,4995.08,2074.02,2856.7,132.17,2265.11,544.33,5931.14,145.43,559.69,4744.03,26412.16
2017-05-17,2033.42,2474.35,982.6,3217.66,NA,2174.02,815.07,6936.17,2729.71,NA,1311.77,22674.77
2017-05-18,2998.97,5710.69,2854.26,2506.7,109.42,1554.82,884.76,4379.86,NA,146.3,1802.06,22996.93
2017-05-19,3259.7,2451.33,2467.6,5042.71,NA,3283.57,672.5,6025.05,28.01,NA,946.51,24638.26
2017-05-20,1259.21,2815,1006.67,1148.54,NA,873.27,220.54,2485.93,492.47,957.15,1331.38,12727.4
2017-05-21,3460.71,2916.44,2170.46,1222.4,109.8,1481.61,289.95,6802.21,345.84,250.43,1470.62,20877.55
2017-05-22,6130.5,818.54,2034.18,4005.86,34.66,2433.02,2182.35,5625.7,915,497.54,4834.96,30140.72
2017-05-23,3270.81,2797.31,1169.4,2364.51,NA,1799.6,509.56,5977.59,1925.81,NA,1193.3,21507.18
2017-05-24,1522.19,4637.56,9763.8,3132.05,46.44,1719.46,736.1,4670.39,586.79,NA,1270.06,28821.34
2017-05-25,557.22,4322.12,1352.47,5210.95,NA,2432.92,693.67,3944.21,31.95,143.12,1538.36,20953.55
2017-05-26,1728.63,436.14,235.28,538.82,NA,1407.81,154.5,7110.51,NA,NA,1392.09,13334.04
2017-05-27,3313.08,3507.81,977.14,706.34,345.14,1684.35,181.29,5372.43,476.19,NA,507.67,17362.07
2017-05-28,805.09,1443.46,431.59,2125.58,NA,1147.65,380.29,5096.56,235.94,81.21,601.57,12348.94
2017-05-29,1566.84,2256.37,1386.62,2173.04,33.68,2577.84,437.86,9064.38,1152.51,190.76,1065.47,23028.28
2017-05-30,1523.62,1316.84,861.52,2641.05,NA,2348.38,85.37,8015.68,160.21,NA,127.1,17890.1
2017-05-31,7000.27,2789.91,1421.83,4312.93,NA,1268.9,354.21,4961.74,470.14,953.05,367.12,24737.43
2017-06-01,2823.18,5825.71,2210.57,4065.07,NA,791.34,966.43,3807.82,32,204.25,413.37,22457.63
2017-06-02,1891.64,3451.79,4630.99,3252.74,NA,1614.62,511.51,3681.4,441.85,NA,1897.88,21890.47
2017-06-03,2511.76,1089.37,2115.25,1202.99,NA,609.2,758.55,3896.29,84.6,75.08,503.36,12931.93
2017-06-04,1785.05,1462.94,873.46,865.77,NA,869.08,472.33,5898.72,35.69,154.79,2967.61,16029.49
2017-06-05,2923.61,1472.01,3750.35,5457.11,NA,1673.84,778.44,9002.86,112.28,NA,1531.18,27604.84
2017-06-06,1723.61,2744.4,1955.2,1114.92,27.68,1771.71,584.95,6734.02,169.48,NA,1366.05,18908.21
2017-06-07,2191.49,1162.54,936.21,1771.88,NA,1198.46,651.11,5615.67,996.29,101.77,1867.92,17193.76
2017-06-08,8598.21,1778.98,505.74,5896.92,NA,726.78,1189.82,5910.75,325.87,153.98,1567.76,26654.81
2017-06-09,2395.7,2398.71,1265.99,3635.87,NA,2114.15,2156.33,1982.16,538.65,NA,3030.85,19760.57
2017-06-10,1192.8,1301.89,95.53,1205.1,NA,818.85,449.76,3716.87,443.33,262.02,582.64,10296.56
2017-06-11,1667.87,4157.51,1456.37,1724.2,124.3,1285.65,569.06,4919.91,496.41,198.13,955.17,20381.51
2017-06-12,1793.98,2247.11,1461.22,4022.51,NA,550.8,690.31,8021.13,279.7,NA,250.52,19418.43
2017-06-13,3255.75,1746.48,2038.33,1856.25,NA,1261.39,398.96,3438.44,391.7,104.91,2059.56,16988.87
2017-06-14,987.26,2922.47,1314.58,5107.59,NA,1684.54,1725.71,10941.75,245.46,NA,2386.65,27515.26
2017-06-15,1367.47,1108.48,788.93,1566.18,NA,511.44,687.01,6729.29,2315.53,NA,1253.27,17497.04
2017-06-16,1832.17,1686.26,1405.99,1773.89,171.79,451.64,802.94,5885.17,258.4,127.92,473.34,15232.16
2017-06-17,2401.1,1404.28,335.87,1172.19,NA,306.62,385.08,5326.03,NA,NA,1799.73,13545.88
2017-06-18,1233.35,1393.56,554.72,664.85,NA,1228.21,344.54,11307.91,245.37,NA,876.31,17897.44
2017-06-19,4481.82,1775.07,1134.64,3924.12,NA,2042.36,652,10464.64,1279.96,NA,1042.66,26797.27
2017-06-20,2859.91,1222.76,1220.66,1381.71,NA,10117.55,169.83,3667.92,569.15,NA,682.4,22171.07
2017-06-21,353.43,352.88,1416.97,759.55,NA,18.19,552.73,3159.64,440.06,NA,181.77,7275.1
2017-06-22,541.2,1418.68,873.13,1481.59,NA,1088.65,553.71,3466.24,212.19,231.38,611.29,10478.06
2017-06-23,2787.35,1272.83,1141.24,2092.58,NA,1416.19,479.33,4605.74,318.52,170.36,1559.33,15945.16
2017-06-24,540.31,723.03,984.95,346.99,NA,1871.66,126.92,3675.56,NA,NA,1665.56,10066.2
2017-06-25,2513.95,2701.41,4151.19,1441.76,NA,2463.11,35,4747.89,188.84,NA,2441.04,20829.98
2017-06-26,1751.25,469.84,1558.34,5523.26,NA,899.56,1911.13,2442.09,NA,1422.05,740.5,16868.76
2017-06-27,2638.17,1469.85,1181.27,3644.75,NA,1049.28,181.18,8932.27,447.42,118.76,826.64,20560
2017-06-28,1634.19,1670.26,956.43,1737.15,NA,2897.92,306.91,5181.11,1120.21,NA,1598.88,17318.94
2017-06-29,1817.07,526.38,1380.39,725.31,NA,1331.52,657.53,5797.65,367.95,276.08,2022.1,15350.39
2017-06-30,3373.7,1241.46,2351.05,466.91,NA,1260.08,327.19,4449.1,67.3,NA,1511.19,16675.5
2017-07-01,1207.05,2313.87,2282.74,572.59,NA,2739.55,182.28,5119.4,134.94,NA,1600.55,16214.06
2017-07-02,2356.99,585.21,1657.8,1402.93,NA,1796.7,147.67,5866.89,NA,NA,952.34,14957.68
2017-07-03,1440.33,1576.35,3061.44,1001.5,57.61,3960.02,482.28,6744.65,40.1,391.73,1736.52,20551.31
2017-07-04,1516.66,1838.72,328.14,2432.75,112.69,1171.82,906.4,8241.35,269.06,276.96,1172.38,18478.78
2017-07-05,2245.11,4263.71,3484.32,1156.51,215.6,3609.32,805.33,8393.85,354.49,NA,1138.5,26240.64
2017-07-06,1238.79,2790.91,2420.15,7642.82,NA,1252.6,1857.92,6955.23,90.17,NA,3143.84,28269.91
2017-07-07,1079.6,2086.63,1267.17,2362.49,29.24,2077.22,77.57,5038.5,1070.19,131.31,848.04,16723.17
2017-07-08,2317.78,871.14,1425.52,1116.64,NA,1284.65,NA,4551.62,NA,NA,644.27,12781.44
2017-07-09,825.19,1163.25,478.67,781.4,NA,2642.35,571.6,2804.05,NA,NA,880.93,10452.51
2017-07-10,1314.84,2110.56,2742.2,2785.28,NA,1900.43,929.07,6169.8,562.61,196.01,2157.22,21179.32
2017-07-11,1197.61,2489.93,1936.24,2732.74,171.92,3283.65,1093.31,9243.44,346.5,373.9,1961.02,26406.34
2017-07-12,2134.62,1795.97,1239.71,3288.78,NA,1659.67,152.11,8572.36,1075.78,NA,3257.9,23659.41
2017-07-13,1465.02,1906.31,1247.23,1781.17,172.59,4067.63,175.88,7403.17,286.61,NA,950.86,19696.25
2017-07-14,1842.27,3159.68,2232.56,2682.63,128.04,1945.08,306.25,6071.91,1589.27,1315.6,1245.57,22593.54
2017-07-15,419.54,2106.86,1066.23,808.93,NA,1660.09,1959.77,6060.62,266.92,184.7,545.88,15079.54
2017-07-16,2650.69,2330.28,1269.4,1477.2,NA,1315.89,NA,5110.86,192.37,206.07,2375,17045.46
2017-07-17,2487.04,1667.72,1280.93,3548.72,294.06,3192.9,2105.43,11686.46,868.64,NA,1450.53,29394.66
2017-07-18,3212.71,1796.58,1600.09,6093.21,137.3,2630.86,3387.45,11935.98,297.83,35.31,2420.46,34102.33
2017-07-19,1912.19,1567.2,860.18,2721.93,NA,2182.02,2405.52,6761.23,115.94,NA,1494.5,20722.03
2017-07-20,2068.25,1622.28,717.89,2266.62,50.2,3764.12,1864.61,9291.79,NA,391.73,740.27,23065.28
2017-07-21,1646.63,2539.84,1060.03,799.2,45.19,1103.02,1835.88,8491.41,NA,187.82,860.16,18654.32
2017-07-22,1491.36,1188.25,996.64,5221.55,119.6,893.57,1107.71,4755.01,167.32,NA,314.52,16384.09
2017-07-23,947.52,1238.29,2211.18,2612.21,NA,1329.59,73.34,4302.43,63.01,79.68,942.77,14200.66
2017-07-24,2135.45,1352.05,1347.36,2921.75,320.65,2500.3,495.31,7984.27,247.76,127.99,2918.57,22489.34
2017-07-25,865.73,1931.24,1188.49,6753.85,161.22,1596.02,705.75,7966.64,276.83,NA,2232.51,23989.52
