"purchase_date","salesbyday"
2018-04-19,53250.84
2018-04-20,37289.09
2018-04-21,23369.98
2018-04-22,35373.48
2018-04-23,47700.06
2018-04-24,54045.62
2018-04-25,49940.49
2018-04-26,40625.66
2018-04-27,48357.8
2018-04-28,29773.45
2018-04-29,26008.26
2018-04-30,44626.83
2018-05-01,40311.27
2018-05-02,47600.86
2018-05-03,54400.58
2018-05-04,48050.44
2018-05-05,35190.69
2018-05-06,34146.05
2018-05-07,63797.81
2018-05-08,58459.38
2018-05-09,53817.49
2018-05-10,60484.27
2018-05-11,44224.02
2018-05-12,39808.26
2018-05-13,38603.58
2018-05-14,65837.87
2018-05-15,56126.35
2018-05-16,68746.42
2018-05-17,36397.87
2018-05-18,39718.16
2018-05-19,29877.59
2018-05-20,25101.88
2018-05-21,33084.81
2018-05-22,46345.15
2018-05-23,21948.12
2018-05-24,22405.58
2018-05-25,19189.59
2018-05-26,19222.96
2018-05-27,15418.2
2018-05-28,34136.78
2018-05-29,31477.76
2018-05-30,22638.46
2018-05-31,33320.61
2018-06-01,41416.25
2018-06-02,29992.04
2018-06-03,35222.1
2018-06-04,36045.62
2018-06-05,39982.77
2018-06-06,33977.17
2018-06-07,45415.2
2018-06-08,33498.29
2018-06-09,37768.19
2018-06-10,31240.7
2018-06-11,60141.62
2018-06-12,48715.54
2018-06-13,43905.43
2018-06-14,35218.41
2018-06-15,32900.41
2018-06-16,30177.55
2018-06-17,22268.18
2018-06-18,41710.46
2018-06-19,41308.72
2018-06-20,35908.06
2018-06-21,34355.75
2018-06-22,29341.96
2018-06-23,23046.27
2018-06-24,31167.22
2018-06-25,43340.46
2018-06-26,42422.07
2018-06-27,33571.71
2018-06-28,42213.8
2018-06-29,25751.74
2018-06-30,20197.41
2018-07-01,31030.55
2018-07-02,30022.16
2018-07-03,32931.77
2018-07-04,44181.38
2018-07-05,37080.06
2018-07-06,23237.72
2018-07-07,11928.29
2018-07-08,18951.41
2018-07-09,23551.37
2018-07-10,24320.13
2018-07-11,23703.85
2018-07-12,25763.05
2018-07-13,35389.66
2018-07-14,26834.34
2018-07-15,35259.17
2018-07-16,37859.65
2018-07-17,35576.93
2018-07-18,51316.95
2018-07-19,46556.5
2018-07-20,39946.13
2018-07-21,27194.16
2018-07-22,36896.85
2018-07-23,53185.86
2018-07-24,50579.55
2018-07-25,51570.4
2018-07-26,42168.48
2018-07-27,36510.42
2018-07-28,32801.55
2018-07-29,35905.51
2018-07-30,47165.03
2018-07-31,56004.25
2018-08-01,51787.37
2018-08-02,49393.42
2018-08-03,53251.79
2018-08-04,44293.59
2018-08-05,46106.63
2018-08-06,76855.63
2018-08-07,62198.63
2018-08-08,53055.19
2018-08-09,50039.55
2018-08-10,41018.62
2018-08-11,33217.11
2018-08-12,46027.42
2018-08-13,49583.58
2018-08-14,54109.21
2018-08-15,53977.81
2018-08-16,45334.02
2018-08-17,41038.4
2018-08-18,29196.63
2018-08-19,31464.86
2018-08-20,42679.46
2018-08-21,32857.59
2018-08-22,25955.64
2018-08-23,21473.94
2018-08-24,13361.64
2018-08-25,12456.67
2018-08-26,9726.75
2018-08-27,6292.59
2018-08-28,4260.66
2018-08-29,1762.7
2018-09-03,166.46
