"purchase_date","product_category","sales"
2017-01-23,"computers_accessories",73.37
2017-01-23,"consoles_games",346.38
2017-01-23,"cool_stuff",160.77
2017-01-23,"fashion_bags_accessories",517.29
2017-01-23,"furniture_decor",431.38
2017-01-23,"garden_tools",1282.01
2017-01-23,"health_beauty",1335.01
2017-01-23,"housewares",383.82
2017-01-23,"pet_shop",152.06
2017-01-23,"sports_leisure",1333.05
2017-01-23,"telephony",32.47
2017-01-23,"toys",162.84
2017-01-24,"auto",1895.31
2017-01-24,"baby",211.42
2017-01-24,"bed_bath_table",127.61
2017-01-24,"computers_accessories",113.86
2017-01-24,"consoles_games",896.6
2017-01-24,"cool_stuff",186.49
2017-01-24,"fashio_female_clothing",33.36
2017-01-24,"fashion_bags_accessories",91.07
2017-01-24,"furniture_decor",416.56
2017-01-24,"garden_tools",248.68
2017-01-24,"health_beauty",963.88
2017-01-24,"housewares",348.2
2017-01-24,"market_place",239.9
2017-01-24,"perfumery",74.49
2017-01-24,"sports_leisure",588.42
2017-01-24,"toys",1269.25
2017-01-25,"auto",516.52
2017-01-25,"bed_bath_table",223.7
2017-01-25,"computers_accessories",120.36
2017-01-25,"consoles_games",239.64
2017-01-25,"cool_stuff",2170.61
2017-01-25,"fashio_female_clothing",69.45
2017-01-25,"fashion_bags_accessories",285.7
2017-01-25,"fixed_telephony",23.93
2017-01-25,"furniture_decor",846.96
2017-01-25,"garden_tools",386.41
2017-01-25,"health_beauty",825.74
2017-01-25,"home_comfort",71.71
2017-01-25,"housewares",120.04
2017-01-25,"perfumery",1232.01
2017-01-25,"small_appliances",875.96
2017-01-25,"sports_leisure",920.28
2017-01-25,"telephony",750.5
2017-01-25,"toys",686.03
2017-01-26,"auto",198.18
2017-01-26,"baby",426.15
2017-01-26,"bed_bath_table",353.87
2017-01-26,"computers_accessories",63.01
2017-01-26,"consoles_games",1189.21
2017-01-26,"cool_stuff",931.57
2017-01-26,"fashion_bags_accessories",296.86
2017-01-26,"fixed_telephony",207.94
2017-01-26,"furniture_decor",1872.92
2017-01-26,"garden_tools",646.53
2017-01-26,"health_beauty",796.62
2017-01-26,"home_appliances",463.54
2017-01-26,"home_comfort",23.86
2017-01-26,"housewares",664.46
2017-01-26,"kitchen_dining_laundry_garden_furniture",128.2
2017-01-26,"luggage_accessories",168.58
2017-01-26,"perfumery",1734.68
2017-01-26,"security_and_services",209.06
2017-01-26,"sports_leisure",3730.67
2017-01-26,"stationery",395.57
2017-01-26,"telephony",79
2017-01-26,"toys",97.72
2017-01-26,"watches_gifts",1323.3
2017-01-27,"air_conditioning",192.9
2017-01-27,"baby",1391.98
2017-01-27,"bed_bath_table",347.56
2017-01-27,"books_general_interest",144.14
2017-01-27,"computers_accessories",2332.09
2017-01-27,"consoles_games",582.99
2017-01-27,"cool_stuff",398.44
2017-01-27,"fashion_bags_accessories",42.9
2017-01-27,"fixed_telephony",15.71
2017-01-27,"food_drink",33.32
2017-01-27,"furniture_decor",1251.06
2017-01-27,"furniture_living_room",461.57
2017-01-27,"garden_tools",237.6
2017-01-27,"health_beauty",691.87
2017-01-27,"musical_instruments",357.74
2017-01-27,"office_furniture",532.96
2017-01-27,"perfumery",276.34
2017-01-27,"pet_shop",708.98
2017-01-27,"sports_leisure",417.22
2017-01-27,"stationery",327.5
2017-01-27,"telephony",59.96
2017-01-27,"toys",528.87
2017-01-27,"watches_gifts",1326.79
2017-01-28,"air_conditioning",233.97
2017-01-28,"auto",383.2
2017-01-28,"baby",763
2017-01-28,"bed_bath_table",154.8
2017-01-28,"cool_stuff",1075.89
2017-01-28,"electronics",86.9
2017-01-28,"furniture_decor",549.98
2017-01-28,"garden_tools",213.79
2017-01-28,"health_beauty",717.8
2017-01-28,"home_appliances",227.9
2017-01-28,"housewares",78
2017-01-28,"office_furniture",137.6
2017-01-28,"perfumery",507.9
2017-01-28,"sports_leisure",280.5
2017-01-28,"telephony",246.97
2017-01-28,"toys",148.98
2017-01-29,"baby",1961
2017-01-29,"bed_bath_table",323.79
2017-01-29,"computers_accessories",44.9
2017-01-29,"consoles_games",327.9
2017-01-29,"fashion_bags_accessories",398.5
2017-01-29,"food_drink",45.5
2017-01-29,"furniture_decor",548.8
2017-01-29,"furniture_living_room",259.99
2017-01-29,"garden_tools",128
2017-01-29,"health_beauty",236.8
2017-01-29,"home_appliances",236.9
2017-01-29,"housewares",306.6
2017-01-29,"luggage_accessories",257.9
2017-01-29,"perfumery",931.2
2017-01-29,"pet_shop",186
2017-01-29,"sports_leisure",470.3
2017-01-29,"toys",305.98
2017-01-29,"watches_gifts",240.4
2017-01-30,"auto",672.2
